REQ_ID,artifact,type,test,sprint,status
FR-MSG-016,mybatis/mapper/biztalk/MessageHistoryMapper.xml#filters,sql,-,M1,IMPLEMENTED
FR-MSG-017,src/main/java/com/webcash/iris/biztalk/domain/CsvExporter.java,java,qa/drivers/CsvExporterDriver.java,M4,IMPLEMENTED
FR-MSGD-001,com.webcash.iris.biztalk.domain.MessageDetailService#find,code,-,M3,IMPLEMENTED
FR-MSGD-002,mybatis/mapper/biztalk/MessageDetailMapper.xml,sql,MessageHistoryDriver routing,M3,IMPLEMENTED
FR-MSGD-003,com.webcash.iris.biztalk.domain.MessageDetailKey#of,code,MessageHistoryDriver unknown-type-rejected,M3,IMPLEMENTED
FR-MSGD-004,com.webcash.iris.biztalk.domain.MessageDetail,code,-,M3,IMPLEMENTED
FR-MSGD-005,mybatis/mapper/biztalk/MessageDetailMapper.xml#detailProjection,sql,-,M3,IMPLEMENTED
FR-MSGD-006,src/main/frontend/src/features/biztalk/MessageDetailPanel.tsx,frontend,-,M3,IMPLEMENTED
FR-MSGD-007,src/main/frontend/src/features/biztalk/MessageDetailPanel.tsx,frontend,-,M3,IMPLEMENTED
FR-MSGD-008,com.webcash.iris.biztalk.domain.MessageDetailService#find,code,-,M3,IMPLEMENTED
FR-TEN-001,com.webcash.iris.common.tenant.TenantContext$TenantPrincipal#effectiveInstitutionCode,code,MessageHistoryDriver tenant-scoping,M1,IMPLEMENTED
FR-TEN-001,com.webcash.iris.biztalk.domain.MessageHistoryService#search,code,-,M2,IMPLEMENTED
FR-TEN-001,com.webcash.iris.common.tenant.TenantContextFilter,code,-,M2,IMPLEMENTED
FR-TEN-002,com.webcash.iris.biztalk.domain.MessageHistoryService#rebuildWithInstitution,code,MessageHistoryDriver,M2,IMPLEMENTED
FR-TEN-003,com.webcash.iris.common.tenant.TenantContext$TenantPrincipal,code,MessageHistoryDriver operator-scoping,M1,IMPLEMENTED
FR-TEN-004,com.webcash.iris.biztalk.api.InstitutionController,code,MessageHistoryPage.test.tsx operator-only,M3,IMPLEMENTED
NFR-PERF-01,qa/load/message-history-load.js,load,-,M4,SPECIFIED_NOT_RUN
NFR-PERF-02,com.webcash.iris.biztalk.domain.MessageHistoryCriteria,code,MessageHistoryDriver size-clamping,M1,IMPLEMENTED
NFR-PERF-03,qa/load/message-history-load.js,load,-,M4,SPECIFIED_NOT_RUN
NFR-PERF-04,qa/sql/explain-message-history.sql,sql,-,M4,PARTIAL
NFR-SEC-AUTH,com.webcash.iris.auth.config.SecurityConfig,code,-,M2,IMPLEMENTED
NFR-SEC-TENANT,com.webcash.iris.biztalk.domain.MessageHistoryService#search,code,MessageHistoryDriver,M2,IMPLEMENTED
NFR-SEC-TENANT,mybatis/mapper/biztalk/MessageHistoryMapper.xml#filters,sql,-,M1,IMPLEMENTED
NFR-SEC-PII,mybatis/mapper/biztalk/MessageHistoryMapper.xml#search,sql,-,M1,IMPLEMENTED
NFR-SEC-PII-02,com.webcash.iris.biztalk.domain.MessageHistoryRow,code,-,M1,IMPLEMENTED
NFR-SEC-LOG,com.webcash.iris.biztalk.domain.MessageHistoryService#describe,code,-,M2,IMPLEMENTED
NFR-SEC-CHANNEL,com.webcash.iris.auth.config.SecurityConfig,code,-,M2,IMPLEMENTED
NFR-SEC-INJ,mybatis/mapper/biztalk/MessageHistoryMapper.xml,sql,ci.yml static-rules,M1,IMPLEMENTED
NFR-OPS-AUDIT,com.webcash.iris.biztalk.domain.MessageHistoryService#search,code,-,M2,IMPLEMENTED
NFR-OPS-AUDIT-02,src/main/resources/db/V1__auth_session_audit.sql,ddl,-,M2,PENDING_DBA
NFR-OPS-TIME,com.webcash.iris.common.crosscut.ServiceWindow,code,ServiceWindowDriver (25 assertions executed),M3,IMPLEMENTED
NFR-COMPAT-01,src/main/frontend/src/styles.css,frontend,-,M3,IMPLEMENTED
NFR-USE-01,src/main/frontend/src/features/biztalk/MessageHistoryPage.tsx,frontend,MessageHistoryPage.test.tsx (11 tests),M3,IMPLEMENTED
CONST-TECH-01,pom.xml,build,-,M1,IMPLEMENTED
CONST-DATA-01,mybatis/mapper/biztalk/MessageHistoryMapper.xml,sql,-,M1,IMPLEMENTED
CONST-DATA-02,mybatis/mapper/biztalk/MessageHistoryMapper.xml,sql,-,M1,IMPLEMENTED
CONST-DATA-03,com.webcash.iris.biztalk.domain.MessageHistoryCriteria,code,MessageHistoryDriver,M1,IMPLEMENTED
CONST-LEGAL-01,mybatis/mapper/biztalk/MessageHistoryMapper.xml,sql,-,M1,IMPLEMENTED
CONST-LEGAL-02,src/main/resources/db/V1__auth_session_audit.sql,ddl,-,M2,PENDING_DBA
CONST-SEC-01,com.webcash.iris.auth.config.SecurityConfig,code,-,M2,IMPLEMENTED
FR-AZ-R01,com.webcash.iris.biztalk.api.ReportController,code,-,R1,IMPLEMENTED
FR-AZ-R01,com.webcash.iris.auth.config.SecurityConfig#filterChain,code,-,R1,IMPLEMENTED
FR-AZ-R02,com.webcash.iris.biztalk.api.ReportController#query,code,-,R1,IMPLEMENTED
FR-AZ-R03,com.webcash.iris.biztalk.domain.ReportScope#resolve,code,ReportScopeTest,R1,IMPLEMENTED
FR-AZ-R03,com.webcash.iris.biztalk.domain.ReportService#query,code,ReportServiceTest$Scope,R1,IMPLEMENTED
FR-AZ-R04,com.webcash.iris.biztalk.domain.ReportScope,code,ReportScopeTest$Operator,R1,IMPLEMENTED
FR-AZ-R05,com.webcash.iris.biztalk.domain.ReportService#recordRead,code,ReportServiceTest$WatermarkAndAudit,R1,IMPLEMENTED
FR-AZ-R05,com.webcash.iris.common.audit.AuditEvent#ACTION_REPORT_QUERY,code,-,R1,IMPLEMENTED
FR-RPT-001,com.webcash.iris.biztalk.domain.ReportService#query,code,ReportServiceTest,R1,IMPLEMENTED
FR-RPT-001,src/main/frontend/src/features/biztalk/ReportPage.tsx,code,ReportPage.test.tsx,R1,IMPLEMENTED
FR-RPT-002,com.webcash.iris.biztalk.domain.PeriodPolicy#validate,code,PeriodPolicyTest$Span,R1,IMPLEMENTED
FR-RPT-003,com.webcash.iris.biztalk.domain.PeriodPolicy#validate,code,PeriodPolicyTest$Span,R1,IMPLEMENTED
FR-RPT-004,com.webcash.iris.biztalk.domain.PeriodPolicy#parse,code,PeriodPolicyTest$Format,R1,IMPLEMENTED
FR-RPT-005,com.webcash.iris.biztalk.domain.SourceMerger#merge,code,SourceMergerTest$Paging,R1,IMPLEMENTED
FR-RPT-005,com.webcash.iris.biztalk.domain.ReportService#countTotal,code,ReportServiceTest$Merging,R1,IMPLEMENTED
FR-RPT-005,mybatis/mapper/biztalk/ApiAggregateMapper.xml#findPage,sql,-,R1,IMPLEMENTED
FR-RPT-006,com.webcash.iris.biztalk.domain.AggregateKey#DISPLAY_ORDER,code,SourceMergerTest$OrderViolation,R1,IMPLEMENTED
FR-RPT-006,mybatis/mapper/biztalk/ApiAggregateMapper.xml#findPage,sql,-,R1,IMPLEMENTED
FR-RPT-007,com.webcash.iris.biztalk.api.ReportResponse,code,-,R1,IMPLEMENTED
FR-RPT-008,com.webcash.iris.biztalk.api.ReportResponse,code,-,R1,IMPLEMENTED
FR-RPT-009,com.webcash.iris.biztalk.domain.ChannelCounters,code,ChannelCountersTest,R1,IMPLEMENTED
FR-RPT-009,src/main/frontend/src/features/biztalk/ReportPage.tsx,code,ReportPage.test.tsx,R1,IMPLEMENTED
FR-RPT-010,com.webcash.iris.biztalk.domain.ChannelCounters#reconciles,code,ChannelCountersTest$Identity,R1,IMPLEMENTED
FR-RPT-010,com.webcash.iris.biztalk.domain.ReportRow#reconciliationFailures,code,ChannelCountersTest$Rows,R1,IMPLEMENTED
FR-RPT-011,com.webcash.iris.biztalk.domain.ChannelCounters#of,code,ChannelCountersTest$Nulls,R1,IMPLEMENTED
FR-RPT-011,mybatis/mapper/biztalk/ApiAggregateMapper.xml#findPage,sql,-,R1,IMPLEMENTED
FR-RPT-012,com.webcash.iris.biztalk.domain.ReportService#resolveInstitutionNames,code,ReportServiceTest$Merging,R1,IMPLEMENTED
FR-RPT-012,com.webcash.iris.biztalk.domain.ReportRow#institutionUnresolved,code,ChannelCountersTest$Rows,R1,IMPLEMENTED
FR-RPT-013,com.webcash.iris.biztalk.domain.ReportWatermark,code,ReportWatermarkTest,R1,IMPLEMENTED
FR-RPT-013,com.webcash.iris.biztalk.api.ReportController#watermark,code,-,R1,IMPLEMENTED
FR-RPT-014,com.webcash.iris.biztalk.domain.ReportPage#isEmpty,code,ReportPage.test.tsx,R1,IMPLEMENTED
FR-RPT-015,src/main/frontend/src/features/biztalk/ReportPage.tsx,code,ReportPage.test.tsx,R1,IMPLEMENTED
FR-RPT-016,com.webcash.iris.biztalk.api.ReportResponse$Row,code,-,R1,IMPLEMENTED
FR-RPTS-001,com.webcash.iris.biztalk.infra.db.AggregateMapper,code,ReportServiceTest$Merging,R1,IMPLEMENTED
FR-RPTS-001,com.webcash.iris.biztalk.config.ReportDataSourceConfig,code,-,R1,IMPLEMENTED
FR-RPTS-002,com.webcash.iris.biztalk.domain.SendSource,code,ReportPage.test.tsx,R1,DESCOPED
FR-RPTS-003,com.webcash.iris.biztalk.domain.SourceMerger#merge,code,SourceMergerTest$UnionAndSum,R1,IMPLEMENTED
FR-RPTS-003,com.webcash.iris.biztalk.domain.ReportRow#merged,code,ReportServiceTest$Merging,R1,IMPLEMENTED
FR-RPTS-004,com.webcash.iris.biztalk.domain.ReportService,code,-,R1,IMPLEMENTED
FR-RPTS-005,com.webcash.iris.biztalk.domain.SourceAvailability,code,ReportServiceTest$PartialResults,R1,IMPLEMENTED
NFR-SEC-AUTHZ-R01,com.webcash.iris.biztalk.api.ReportController,code,-,R1,PARTIAL
NFR-SEC-TENANT-R01,com.webcash.iris.biztalk.domain.ReportScope,code,ReportScopeTest$Tenant,R1,PARTIAL
NFR-OPS-AUDIT-R01,com.webcash.iris.biztalk.domain.ReportService#recordRead,code,ReportServiceTest$WatermarkAndAudit,R1,IMPLEMENTED
NFR-OPS-R01,com.webcash.iris.biztalk.domain.SourceAvailability,code,ReportServiceTest$PartialResults,R1,IMPLEMENTED
NFR-USE-R01,src/main/frontend/src/features/biztalk/ReportPage.tsx,code,ReportPage.test.tsx,R1,IMPLEMENTED
NFR-PERF-R01,mybatis/mapper/biztalk/ApiAggregateMapper.xml#findPage,sql,-,R1,UNVERIFIED
NFR-PERF-R02,com.webcash.iris.biztalk.domain.SourceMerger,code,-,R1,UNVERIFIED
CONST-DATA-R01,com.webcash.iris.biztalk.infra.db.AggregateMapper,code,-,R1,IMPLEMENTED
CONST-DATA-R02,-,review,-,R1,IMPLEMENTED
CONST-BIZ-R01,mybatis/mapper/biztalk/ApiAggregateMapper.xml#findPage,sql,ChannelCountersTest$Identity,R1,IMPLEMENTED
CONST-BIZ-R02,com.webcash.iris.biztalk.domain.ReportRow#grandTotal,code,ChannelCountersTest$Rows,R1,IMPLEMENTED
CONST-LEGAL-R01,com.webcash.iris.biztalk.domain.ReportService#recordRead,code,ReportServiceTest$WatermarkAndAudit,R1,IMPLEMENTED
FR-RPTX-001,-,-,-,R2,PLANNED
FR-RPTX-002,-,-,-,R2,PLANNED
FR-RPTX-003,-,-,-,R2,PLANNED
FR-RPTX-004,-,-,-,R2,PLANNED
FR-RPTX-005,-,-,-,R2,PLANNED
FR-RPTX-006,-,-,-,R2,PLANNED
FR-RPTX-007,-,-,-,R2,PLANNED
FR-RPTX-008,-,-,-,R2,PLANNED
FR-RPTX-009,-,-,-,R2,PLANNED
FR-RPTX-010,-,-,-,R2,DEFERRED
FR-RPTX-011,-,-,-,R2,PLANNED
FR-RPTX-012,com.webcash.iris.common.audit.AuditEvent#ACTION_REPORT_EXPORT,code,-,R2,PARTIAL
FR-RPTX-013,-,-,-,R2,PLANNED
NFR-PERF-R03,-,-,-,R2,PLANNED
NFR-SCALE-R01,-,-,-,R2,PLANNED
NFR-SEC-HDR-R01,-,-,-,R2,PLANNED
NFR-COMPAT-R01,-,-,-,R2,PLANNED
FR-AZ-T01,com.webcash.iris.biztalk.api.TalkHistoryController,code,-,T1,IMPLEMENTED
FR-AZ-T02,com.webcash.iris.biztalk.api.TalkHistoryController#query ,code,TalkHistoryAuthorizationTest,T1,IMPLEMENTED
FR-AZ-T03,com.webcash.iris.common.tenant.PrincipalScope#resolve,code,ReportScopeTest,T1,IMPLEMENTED
FR-AZ-T04,-,code,-,T2,PLANNED
FR-AZ-T05,com.webcash.iris.biztalk.domain.TalkHistoryService#search,code,-,T1,IMPLEMENTED
FR-AZ-T06,-,review,TalkHistoryContractTest$EndpointSurface,T1,IMPLEMENTED
FR-TLK-001,com.webcash.iris.biztalk.domain.TalkHistoryService#toCriteria,code,-,T1,IMPLEMENTED
FR-TLK-002,com.webcash.iris.biztalk.domain.BizTalkApiRegistry,code,BizTalkApiRegistryTest$Scope;TalkApiReconciliationTest,T1,IMPLEMENTED
FR-TLK-003,com.webcash.iris.biztalk.domain.TalkHistoryRow,code,TalkHistoryMapperXmlTest$Projection,T1,IMPLEMENTED
FR-TLK-004,com.webcash.iris.biztalk.domain.TalkStatus,code,TalkHistoryPage.test.tsx,T1,IMPLEMENTED
FR-TLK-005,com.webcash.iris.biztalk.infra.db.TalkHistoryMapper#countAll,code,TalkHistoryMapperXmlTest$OrderingAndPaging,T1,IMPLEMENTED
FR-TLK-006,mybatis/mapper/biztalk/TalkHistoryMapper.xml#findPage,code,TalkHistoryMapperIntegrationTest$PagingCorrectness,T1,IMPLEMENTED
FR-TLK-007,com.webcash.iris.biztalk.domain.TalkPeriodPolicy#MAX_SPAN_DAYS,code,TalkPeriodPolicyTest$DateRange,T1,IMPLEMENTED
FR-TLK-008,com.webcash.iris.biztalk.domain.TalkPeriodPolicy#parseTime,code,TalkPeriodPolicyTest$TimeBounds,T1,IMPLEMENTED
FR-TLK-009,com.webcash.iris.biztalk.domain.TransactionSerial,code,TransactionSerialTest;LpadTruncationTest,T1,IMPLEMENTED
FR-TLK-010,mybatis/mapper/biztalk/TalkHistoryMapper.xml#whereClause,code,TalkHistoryMapperXmlTest#scopeUsesApiServiceCode,T1,IMPLEMENTED
FR-TLK-011,com.webcash.iris.biztalk.domain.TalkHistoryRow#institutionDisplay,code,TalkHistoryPage.test.tsx,T1,IMPLEMENTED
FR-TLK-012,com.webcash.iris.biztalk.api.TalkHistoryResponse,code,BizTalkApiRegistryTest$SelectorOptions,T1,IMPLEMENTED
FR-TLK-013,com.webcash.iris.biztalk.domain.BizTalkApiRegistry#detailAvailable,code,BizTalkApiRegistryTest$LinkMatchesLookup,T1,IMPLEMENTED
FR-TLK-014,com.webcash.iris.biztalk.domain.TalkPeriodPolicy#validate,code,TalkPeriodPolicyTest,T1,IMPLEMENTED
FR-TLK-015,src/main/frontend/src/features/biztalk/TalkHistoryPage.tsx,code,TalkHistoryPage.test.tsx,T1,IMPLEMENTED
NFR-SEC-AUTHZ-T01,com.webcash.iris.biztalk.api.TalkHistoryController,code,TalkHistoryAuthorizationTest,T1,IMPLEMENTED
NFR-SEC-TENANT-T01,com.webcash.iris.common.tenant.PrincipalScope,code,TalkHistoryServiceTest$ScopeResolution,T1,IMPLEMENTED
NFR-USE-T01,com.webcash.iris.biztalk.api.TalkHistoryResponse$Row#statusLabel,code,TalkHistoryPage.test.tsx,T1,IMPLEMENTED
NFR-PERF-T01,mybatis/mapper/biztalk/TalkHistoryMapper.xml,load,TalkHistoryLoadTest$PagingCost;$QueryStructure,T2,PARTIAL-DEV-HARDWARE
CONST-DATA-T01,com.webcash.iris.biztalk.infra.db.TalkHistoryMapper,review,TalkHistoryMapperXmlTest$NoWritePath,T1,IMPLEMENTED
CONST-SEC-T01,mybatis/mapper/biztalk/TalkHistoryMapper.xml,review,TalkHistoryMapperXmlTest$Projection;TalkHistoryContractTest,T1,IMPLEMENTED
FR-AZ-T05,com.webcash.iris.biztalk.domain.TalkHistoryService#search,code,TalkHistoryServiceTest$Audit,T1,IMPLEMENTED
FR-TLK-004,com.webcash.iris.biztalk.domain.TalkStatus,code,TalkHistoryServiceTest$Selectors,T1,IMPLEMENTED
FR-TLK-013,com.webcash.iris.biztalk.domain.BizTalkApiRegistry#detailAvailable,code,TalkHistoryServiceTest$DetailAvailability,T1,IMPLEMENTED
FR-TLK-014,com.webcash.iris.biztalk.domain.TalkHistoryService#toCriteria,code,TalkHistoryAuthorizationTest#missingFromIsRejected,T1,IMPLEMENTED
CR-T01,com.webcash.iris.common.logging.GlobalExceptionHandler#handleBindingFailure,code,TalkHistoryAuthorizationTest#missingFromIsRejected,T1,FIXED
FR-AZ-T04,com.webcash.iris.biztalk.domain.TalkMessageDetailKey,code,TalkMessageMapperIntegrationTest$Detail#crossInstitutionKeyReturnsNothing,T2,IMPLEMENTED
FR-TLKD-001,com.webcash.iris.biztalk.domain.TalkDetailService#messages,code,TalkDetailServiceTest,T2,IMPLEMENTED
FR-TLKD-002,mybatis/mapper/biztalk/TalkMessageMapper.xml#messageWhere,code,TalkMessageMapperIntegrationTest$Filters#filtersApplyToFriendtalk,T2,IMPLEMENTED
FR-TLKD-003,src/main/frontend/src/features/biztalk/TalkTransactionDetailPanel.tsx,code,-,T2,IMPLEMENTED
FR-TLKD-004,com.webcash.iris.biztalk.domain.TalkMessageRow,code,TalkDetailServiceTest$ChannelRouting,T2,IMPLEMENTED
FR-TLKD-005,com.webcash.iris.biztalk.domain.TalkDetailService$UnsupportedTransactionException,code,TalkDetailServiceTest$ChannelRouting,T2,IMPLEMENTED
FR-TLKD-006,com.webcash.iris.biztalk.domain.TalkResult,code,TalkMessageMapperIntegrationTest$Filters,T2,IMPLEMENTED
FR-TLKD-007,com.webcash.iris.biztalk.infra.db.TalkMessageMapper#countMessages,code,TalkMessageMapperIntegrationTest,T2,IMPLEMENTED
FR-TLKD-008,mybatis/mapper/biztalk/TalkMessageMapper.xml,code,TalkMessageMapperIntegrationTest$Masking,T2,IMPLEMENTED
FR-TLKD-009,com.webcash.iris.biztalk.domain.TalkMessageCriteria#serialForMapper,code,LpadTruncationTest;TalkMessageMapperIntegrationTest$Ownership,T2,IMPLEMENTED
FR-TLKM-001,com.webcash.iris.biztalk.domain.TalkMessageDetail,code,TalkMessageMapperIntegrationTest$Detail,T2,IMPLEMENTED
FR-TLKM-002,mybatis/mapper/biztalk/TalkMessageMapper.xml#findDetail,code,TalkMessageMapperIntegrationTest$Detail#numbersActuallyMap,T2,IMPLEMENTED
FR-TLKM-003,mybatis/mapper/biztalk/TalkMessageMapper.xml#findDetail,code,TalkMessageMapperIntegrationTest$Detail#yearIsFourDigits,T2,IMPLEMENTED
FR-TLKM-004,com.webcash.iris.biztalk.domain.TalkMessageDetailKey,code,TalkMessageMapperIntegrationTest$Detail#statusChangeDoesNotHideTheMessage,T2,IMPLEMENTED
FR-TLKM-005,com.webcash.iris.biztalk.domain.TalkResult#display,code,TalkDetailServiceTest$Detail;TalkMessageMapperIntegrationTest$ResultCodes,T2,IMPLEMENTED
FR-TLKM-006,com.webcash.iris.biztalk.domain.TalkDetailService#detail,code,TalkMessageMapperIntegrationTest$Detail#channelReadsItsOwnTable,T2,IMPLEMENTED
FR-TLKM-007,src/main/frontend/src/features/biztalk/TalkMessageDetailPanel.tsx,code,-,T2,IMPLEMENTED
FR-TLKM-008,src/main/frontend/src/features/biztalk/TalkMessageDetailPanel.tsx,code,-,T2,IMPLEMENTED
FR-TLKX-001,com.webcash.iris.biztalk.domain.TalkExportService,code,TalkExportParityTest$SetEquality,T2,IMPLEMENTED
FR-TLKX-002,com.webcash.iris.biztalk.api.TalkExportController#export,code,TalkExportParityTest,T2,IMPLEMENTED
FR-TLKX-003,com.webcash.iris.biztalk.api.TalkExportController#headers,code,TalkExportControllerTest$FilenameHeader,T2,IMPLEMENTED
FR-TLKX-004,com.webcash.iris.biztalk.api.TalkExportController#headers,code,TalkExportControllerTest$ContentType,T2,IMPLEMENTED
FR-TLKX-005,com.webcash.iris.biztalk.domain.TalkExportService#ROW_CEILING,code,TalkExportParityTest$CeilingAndAudit,T2,IMPLEMENTED
FR-TLKX-006,src/main/frontend/src/api/talkDetailApi.ts#exportTalkHistory,code,TalkHistoryPage.test.tsx,T2,IMPLEMENTED
FR-TLKX-007,com.webcash.iris.biztalk.domain.TalkExportService#export,code,TalkExportParityTest$CeilingAndAudit,T2,IMPLEMENTED
FR-TLKX-008,com.webcash.iris.biztalk.domain.TalkExportService#cellsOf,code,TalkMessageMapperIntegrationTest$Masking,T2,IMPLEMENTED
FR-TLKX-009,com.webcash.iris.biztalk.infra.excel.StreamingWorkbookWriter,code,TalkExportParityTest$WorkbookContent,T2,IMPLEMENTED
FR-TLKX-010,com.webcash.iris.biztalk.api.TalkExportController,code,-,T2,IMPLEMENTED
NFR-SEC-PII-T01,mybatis/mapper/biztalk/TalkMessageMapper.xml,code,TalkMessageMapperIntegrationTest$Masking,T2,PARTIAL
NFR-SCALE-T01,com.webcash.iris.biztalk.infra.excel.StreamingWorkbookWriter,load,TalkHistoryLoadTest$ExportScale,T2,IMPLEMENTED
CONST-BIZ-T01,com.webcash.iris.biztalk.domain.TalkDetailService,code,TalkDetailServiceTest$Detail,T2,IMPLEMENTED
NFR-SEC-HDR-T01,com.webcash.iris.biztalk.api.TalkExportController#headers,code,TalkExportControllerTest$FilenameHeader#noHeaderContainsCrlf,T2,IMPLEMENTED
NFR-COMPAT-T01,com.webcash.iris.biztalk.api.TalkExportController#XLSX_MEDIA_TYPE,code,TalkExportControllerTest$ContentType,T2,PARTIAL
NFR-PERF-T02,mybatis/mapper/biztalk/TalkMessageMapper.xml,load,TalkHistoryLoadTest,T2,PARTIAL-DEV-HARDWARE
